일자,기초자산,전일대비,등락률,주식선물,전일대비,등락률,거래량,미결제,이론가,괴리율,이론BASIS,시장BASIS
2026-06-26,2673000,244000,-8.36,2699000,241000,-8.2,1488891,1664334,2675716,0.87,2716,26000
2026-06-25,2917000,337000,13.06,2940000,330000,12.64,1231285,1816550,2920188,0.68,3188,23000
2026-06-24,2580000,25000,0.98,2610000,45000,1.75,1370246,1608917,2582985,1.05,2985,30000
2026-06-23,2555000,364000,-12.47,2565000,385000,-13.05,1459921,1606426,2558165,0.27,3165,10000
2026-06-22,2919000,155000,5.61,2950000,162000,5.81,969130,1778841,2922800,0.93,3800,31000
2026-06-19,2764000,79000,2.94,2788000,72000,2.65,966652,1741060,2768198,0.72,4198,24000
2026-06-18,2685000,164000,6.51,2716000,160000,6.26,896457,1755411,2689304,0.99,4304,31000
2026-06-17,2521000,139000,5.84,2556000,153000,6.37,610382,1659445,2525225,1.22,4225,35000
2026-06-16,2382000,94000,4.11,2403000,111000,4.84,502103,1598139,2386150,0.71,4150,21000
2026-06-15,2288000,138000,6.42,2292000,149000,6.95,531849,1542992,2292215,-0.01,4215,4000
2026-06-12,2150000,49000,2.33,2143000,22000,1.04,796055,1497550,2154469,-0.53,4469,-7000
2026-06-11,2101000,53000,2.59,2121000,38000,1.82,783369,1432799,2105456,0.74,4456,20000
2026-06-10,2048000,167000,-7.54,2083000,167000,-7.42,473513,1230842,2052494,1.49,4494,35000
2026-06-09,2215000,304000,15.91,2250000,379000,20.26,533006,983203,2220023,1.35,5023,35000
2026-06-08,1911000,159000,-7.68,1871000,169000,-8.28,107186,444800,1915473,-2.32,4473,-40000
2026-06-05,2070000,228000,-9.92,2040000,283000,-12.18,91363,323406,2075319,-1.7,5319,-30000
2026-06-04,2298000,62000,-2.63,2323000,34000,-1.44,56512,196449,2304096,0.82,6096,25000
2026-06-02,2360000,3000,-0.13,2357000,78000,-3.2,30883,152358,2366609,-0.41,6609,-3000
2026-06-01,2363000,30000,1.29,2435000,66000,2.79,6624,109587,2369817,2.75,6817,72000
2026-05-29,2333000,44000,1.92,2369000,61000,2.64,8325,71955,2340248,1.23,7248,36000
2026-05-28,2289000,46000,2.05,2308000,49000,2.17,10187,56474,2296307,0.51,7307,19000
2026-05-27,2243000,191000,9.31,2259000,188000,9.08,13335,49916,2250246,0.39,7246,16000
2026-05-26,2052000,111000,5.72,2071000,115000,5.88,5933,35040,2058780,0.59,6780,19000
2026-05-22,1941000,1000,0.05,1956000,4000,0.2,1200,16511,1948009,0.41,7009,15000
2026-05-21,1940000,195000,11.17,1952000,165000,9.23,5739,16441,1947148,0.25,7148,12000
2026-05-20,1745000,0,0,1787000,3000,-0.17,11445,9295,1751558,2.02,6558,42000
2026-05-19,1745000,95000,-5.16,1790000,69000,-3.71,5682,6712,1751712,2.19,6712,45000
2026-05-18,1840000,21000,1.15,1859000,12000,0.65,8932,6160,1847187,0.64,7187,19000
2026-05-15,1819000,151000,-7.66,1847000,133000,-6.72,1360,673,1826186,1.14,7186,28000
2026-05-14,1970000,6000,-0.3,1980000,21000,-1.05,19,42,1977960,0.1,7960,10000
2026-05-13,1976000,141000,7.68,2001000,141000,7.58,6,34,1984258,0.84,8258,25000
2026-05-12,1835000,45000,-2.39,1860000,29000,-1.54,31,33,1842721,0.94,7721,25000
2026-05-11,1880000,194000,11.51,1889000,252000,15.39,7,15,1888060,0.05,8060,9000
2026-05-08,1686000,32000,1.93,1637000,33000,-1.98,9,14,1693568,-3.34,7568,-49000
2026-05-07,1654000,53000,3.31,1670000,70000,4.38,13,15,1661512,0.51,7512,16000
2026-05-06,1601000,154000,10.64,1600000,150000,10.34,5,5,1608407,-0.52,7407,-1000
2026-05-04,1447000,161000,12.52,1450000,128000,9.68,3,3,1453928,-0.27,6928,3000
2026-04-30,1286000,7000,-0.54,1322000,25000,1.93,1,2,1292527,2.28,6527,36000
2026-04-29,1293000,7000,-0.54,1310000,0,0,0,1,1299663,0.8,6663,17000
2026-04-28,1300000,8000,0.62,1319000,0,0,0,1,1306799,0.93,6799,19000
2026-04-27,1292000,70000,5.73,1319000,87000,7.06,1,1,1298879,1.55,6879,27000
2026-04-24,1222000,3000,-0.24,1232000,0,0,0,0,1228790,0.26,6790,10000
2026-04-23,1225000,2000,0.16,1233000,0,0,0,0,1231875,0.09,6875,8000
2026-04-22,1223000,1000,-0.08,1232000,0,0,0,0,1229956,0.17,6956,9000
2026-04-21,1224000,58000,4.97,1174000,0,0,0,0,1231081,-4.64,7081,-50000
2026-04-20,1166000,38000,3.37,1137000,0,0,0,0,1172817,-3.05,6817,-29000
2026-04-17,1128000,27000,-2.34,1164000,0,0,0,0,1134840,2.57,6840,36000
2026-04-16,1155000,19000,1.67,1150000,0,0,0,0,1162128,-1.04,7128,-5000
2026-04-15,1136000,33000,2.99,1150000,35000,3.14,1,0,1143118,0.6,7118,14000
2026-04-14,1103000,63000,6.06,1048000,0,0,0,1,1109985,-5.58,6985,-55000
