일자,시가,고가,저가,종가,전일대비,등락률,거래량
2026-06-26,2912000,2936000,2610000,2699000,241000,-8.2,1488891
2026-06-25,2871000,3033000,2768000,2940000,330000,12.64,1231285
2026-06-24,2590000,2717000,2466000,2610000,45000,1.75,1370246
2026-06-23,2980000,2985000,2522000,2565000,385000,-13.05,1459921
2026-06-22,2738000,2983000,2714000,2950000,162000,5.81,969130
2026-06-19,2846000,2917000,2704000,2788000,72000,2.65,966652
2026-06-18,2585000,2767000,2558000,2716000,160000,6.26,896457
2026-06-17,2350000,2556000,2336000,2556000,153000,6.37,610382
2026-06-16,2380000,2409000,2303000,2403000,111000,4.84,502103
2026-06-15,2279000,2340000,2275000,2292000,149000,6.95,531849
2026-06-12,2308000,2322000,2131000,2143000,22000,1.04,796055
2026-06-11,1980000,2175000,1971000,2121000,38000,1.82,783369
2026-06-10,2122000,2202000,2003000,2083000,167000,-7.42,473513
2026-06-09,2058000,2250000,2014000,2250000,379000,20.26,533006
2026-06-08,1878000,2090000,1836000,1871000,169000,-8.28,107186
2026-06-05,2200000,2211000,2040000,2040000,283000,-12.18,91363
2026-06-04,2315000,2352000,2290000,2323000,34000,-1.44,56512
2026-06-02,2429000,2441000,2289000,2357000,78000,-3.2,30883
2026-06-01,2326000,2435000,2325000,2435000,66000,2.79,6624
2026-05-29,2403000,2425000,2320000,2369000,61000,2.64,8325
2026-05-28,2259000,2342000,2177000,2308000,49000,2.17,10187
2026-05-27,2248000,2388000,2231000,2259000,188000,9.08,13335
2026-05-26,2008000,2115000,2008000,2071000,115000,5.88,5933
2026-05-22,1972000,1972000,1930000,1956000,4000,0.2,1200
2026-05-21,1821000,1974000,1808000,1952000,165000,9.23,5739
2026-05-20,1778000,1791000,1703000,1787000,3000,-0.17,11445
2026-05-19,1809000,1835000,1750000,1790000,69000,-3.71,5682
2026-05-18,1814000,1911000,1745000,1859000,12000,0.65,8932
2026-05-15,1982000,2013000,1801000,1847000,133000,-6.72,1360
2026-05-14,1804000,1983000,1804000,1980000,21000,-1.05,19
2026-05-13,1821000,2001000,1813000,2001000,141000,7.58,6
2026-05-12,2019000,2019000,1840000,1860000,29000,-1.54,31
2026-05-11,1800000,1913000,1800000,1889000,252000,15.39,7
2026-05-08,1637000,1660000,1637000,1637000,33000,-1.98,9
2026-05-07,1632000,1693000,1580000,1670000,70000,4.38,13
2026-05-06,1602000,1602000,1600000,1600000,150000,10.34,5
2026-05-04,1323000,1450000,1323000,1450000,128000,9.68,3
2026-04-30,1322000,1322000,1322000,1322000,25000,1.93,1
2026-04-29,1310000,1310000,1310000,1310000,0,0,0
2026-04-28,1319000,1319000,1319000,1319000,0,0,0
2026-04-27,1319000,1319000,1319000,1319000,87000,7.06,1
2026-04-24,1232000,1232000,1232000,1232000,0,0,0
2026-04-23,1233000,1233000,1233000,1233000,0,0,0
2026-04-22,1232000,1232000,1232000,1232000,0,0,0
2026-04-21,1174000,1174000,1174000,1174000,0,0,0
2026-04-20,1137000,1137000,1137000,1137000,0,0,0
2026-04-17,1164000,1164000,1164000,1164000,0,0,0
2026-04-16,1150000,1150000,1150000,1150000,0,0,0
2026-04-15,1150000,1150000,1150000,1150000,35000,3.14,1
2026-04-14,1048000,1048000,1048000,1048000,0,0,0
2026-04-13,1020000,1020000,1020000,1020000,0,0,0
2026-04-10,1020000,1020000,1020000,1020000,15000,1.49,1
