일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,기타법인
2026/02/25,+1273,+2218,-3432,-4026,+38,+353,,,+203,,-59
2026/02/24,+2842,+2066,-5032,-5431,-4,+457,,,-52,,+124
2026/02/23,-2056,-670,+2749,+3711,-21,-1262,,,+323,,-22
2026/02/20,+1925,+3029,-4977,-5721,-14,+792,,,-35,,+23
2026/02/19,+1288,-864,-479,-973,+37,+949,-1,,-490,,+56
2026/02/13,+1700,-1314,-256,-1047,+109,+745,,,-63,,-131
2026/02/12,+244,-246,-176,+1801,-87,+962,,,-2852,,+176
2026/02/11,+425,+12,-340,-856,-4,-225,,,+745,,-97
2026/02/10,-1018,+1908,-843,-546,+1,-661,,,+362,,-47
2026/02/09,+1721,+549,-2167,-3225,-46,+1298,,,-193,,-103
2026/02/06,+734,-1563,+726,+898,-23,+305,,,-454,,+102
2026/02/05,-5498,-3556,+8496,+8352,-10,-540,,,+693,,+557
2026/02/04,+3401,-363,-3147,-4093,-67,+1022,,,-8,,+108
2026/02/03,+3532,-44,-3606,-4154,-38,+1101,-1,,-515,,+118
2026/02/02,-5617,-2616,+8596,+9686,+62,-1681,+1,,+527,,-363
2026/01/30,+1113,-3679,+2582,+3466,-22,-935,,,+74,,-16
2026/01/29,-1179,+1712,-247,+1250,-21,-1485,,,+10,,-287
2026/01/28,-1443,+2349,-62,-196,+2,-27,,,+158,,-843
2026/01/27,+1751,+631,-2670,-4409,+53,+1793,,,-106,,+289
2026/01/26,+821,-2427,+1472,+133,-13,+1345,,,+8,,+133
2026/01/23,-492,-658,+1109,+1788,+4,-621,-1,,-60,,+40
2026/01/22,+1773,-132,-1666,-1150,+86,-477,,,-125,,+25
2026/01/21,-3371,+761,+2849,+3290,+38,-591,,,+111,,-239
2026/01/20,-1985,-2032,+4022,+5520,-2,-1539,,,+43,,-5
2026/01/19,+3275,-491,-2831,-3350,,+357,,,+161,,+47
2026/01/16,+823,+682,-1635,-2113,+8,+304,,,+165,,+129
2026/01/15,+1380,+733,-2271,-4252,-5,+1985,,,+1,,+157
2026/01/14,+1418,+297,-1805,-1300,-7,-586,,,+88,,+90
2026/01/13,+992,-2225,+1104,+727,-7,+484,,,-99,,+128
2026/01/12,-893,+1369,-551,-2865,-6,+2216,,,+103,,+76
2026/01/09,+3028,-1804,-1288,-883,+107,-194,,,-319,,+65
2026/01/08,+869,-1881,+998,+4626,-22,-456,,,-3149,,+15
2026/01/07,+132,+469,-521,-1436,+43,+276,,,+596,,-81
2026/01/06,+568,-2671,+1999,+1449,+265,+293,,,-8,,+103
2026/01/05,-657,+1516,-647,-355,-48,-431,,,+186,,-212
2026/01/02,-1018,-720,+1574,+2323,+7,-661,-3,,-91,,+165
2025/12/30,-1994,-1069,+3464,+3415,+45,-285,,,+289,,-401
2025/12/29,-2010,-266,+2471,+1728,+34,+857,,,-149,,-196
2025/12/26,+4209,-2355,-2027,-3992,+9,+1670,-1,,+288,,+173
2025/12/24,+1479,+203,-1704,-1966,+18,+235,,,+9,,+22
2025/12/23,+2456,-320,-2035,-2466,-25,+453,,,+5,,-102
2025/12/22,+3501,+2199,-5793,-7198,-5,+1483,,,-70,,+91
2025/12/19,+2687,+801,-3484,-3565,+45,+166,,,-131,,-2
2025/12/18,+376,+1231,-1579,-1356,+37,-296,,,+37,,-28
