일자,기초자산,전일대비,등락률,주식선물,전일대비,등락률,거래량,미결제,이론가,괴리율,이론BASIS,시장BASIS
2026/03/31,807000,66000,-7.56,886000,0,0.00,0,2,816834,+8.47,+9834,+79000
2026/03/30,873000,49000,-5.31,938000,0,0.00,0,2,883730,+6.14,+10730,+65000
2026/03/27,922000,11000,-1.18,952000,0,0.00,0,2,933425,+1.99,+11425,+30000
2026/03/26,933000,62000,-6.23,1011000,0,0.00,0,2,944558,+7.03,+11558,+78000
2026/03/25,995000,9000,+0.91,1003000,0,0.00,0,2,1007685,-0.46,+12685,+8000
2026/03/24,986000,53000,+5.68,944000,0,0.00,0,2,998780,-5.48,+12780,-42000
2026/03/23,933000,74000,-7.35,1015000,0,0.00,0,2,945040,+7.40,+12040,+82000
2026/03/20,1007000,6000,-0.59,1023000,0,0.00,0,2,1020199,+0.27,+13199,+16000
2026/03/19,1013000,43000,-4.07,1071000,0,0.00,0,2,1026118,+4.37,+13118,+58000
2026/03/18,1056000,86000,+8.87,985000,0,0.00,0,2,1069789,-7.93,+13789,-71000
2026/03/17,970000,4000,-0.41,983000,0,0.00,0,2,982680,+0.03,+12680,+13000
2026/03/16,974000,64000,+7.03,1042000,0,0.00,0,2,986859,+5.59,+12859,+68000
2026/03/13,910000,20000,-2.15,1042000,93000,+9.80,4,2,922178,+12.99,+12178,+132000
2026/03/12,930000,25000,-2.62,975000,0,0.00,0,1,942395,+3.46,+12395,+45000
2026/03/11,955000,17000,+1.81,947000,0,0.00,0,1,967822,-2.15,+12822,-8000
2026/03/10,938000,102000,+12.20,852000,0,0.00,0,1,951081,-10.42,+13081,-86000
