일자,시가,고가,저가,종가,전일대비,등락률,거래량
2026/06/26,2951000,2951000,2627000,2708000,252000,-8.51,25372
2026/06/25,2878000,3050000,2785000,2960000,343000,+13.11,8275
2026/06/24,2608000,2733000,2484000,2617000,51000,+1.99,8573
2026/06/23,2988000,2999000,2542000,2566000,403000,-13.57,6407
2026/06/22,2795000,2998000,2739000,2969000,167000,+5.96,3386
2026/06/19,2833000,2932000,2720000,2802000,82000,+3.01,7963
2026/06/18,2594000,2781000,2575000,2720000,142000,+5.51,7401
2026/06/17,2364000,2578000,2351000,2578000,163000,+6.75,4306
2026/06/16,2382000,2421000,2318000,2415000,114000,+4.95,1893
2026/06/15,2384000,2384000,2288000,2301000,132000,+6.09,3164
2026/06/12,2317000,2329000,2148000,2169000,49000,+2.31,1291
2026/06/11,2098000,2120000,2098000,2120000,2000,-0.09,2
2026/06/10,2170000,2170000,2122000,2122000,113000,-5.06,3
2026/06/09,2150000,2317000,2150000,2235000,235000,+11.75,7
2026/06/08,1826000,2001000,1826000,2000000,10000,+0.50,3
2026/06/05,2296000,2296000,2296000,2296000,0,0.00,0
2026/06/04,2401000,2401000,2401000,2401000,0,0.00,0
2026/06/02,2401000,2401000,2401000,2401000,29000,+1.22,2
2026/06/01,2369000,2369000,2369000,2369000,0,0.00,0
2026/05/29,2365000,2369000,2355000,2369000,169000,+7.68,4
2026/05/28,2202000,2202000,2200000,2200000,68000,-3.00,4
2026/05/27,2076000,2076000,2076000,2076000,0,0.00,0
,,,,,,,
,,,,,,,
,,,,,,,
