일자,종가,전일대비,등락률,거래량,개인,외국인,기관계,기관,,,,,,,기타법인,기타외국인
,,,,,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,,
2026-06-08,1978000,92000,-4.44,12564730,536411,-129573,-462826,-521241,14699,-39122,-2557,483,25530,59382,49741,6247
2026-06-05,2072000,226000,-9.83,10053111,1488409,-780075,-791707,-513880,2193,-128180,-3085,-1300,-152,-147303,75589,7784
2026-06-04,2206000,154000,-6.53,6295315,236929,-321817,64521,-33259,6437,65055,-214,128,20036,6338,13157,7210
2026-06-02,2324000,39000,-1.65,9353674,338595,-363599,44317,-226464,36520,104020,-335,-1105,66958,64723,-13458,-5855
2026-06-01,2378000,45000,1.93,9321336,-86869,-732553,831686,303842,25164,256888,-1238,-400,178381,69049,-8579,-3685
2026-05-29,2350000,61000,2.66,12279503,446650,-472461,12091,-28857,-12391,122818,268,-220,-6691,-62836,8952,4768
2026-05-28,2253000,10000,0.45,10642198,828618,-945536,58935,105519,-8631,-62568,-580,-1382,-696,27273,57565,418
2026-05-27,2317000,265000,12.91,13464180,-470116,20965,498003,673390,-53973,-67431,-860,-2918,-33654,-16551,-45334,-3518
2026-05-26,2090000,149000,7.68,8853284,-473397,43249,421689,62260,-21474,321931,-4382,-1704,-13111,78169,9608,-1149
2026-05-22,1941000,1000,0.05,5274428,23727,-213868,175404,66191,-6730,-1453,1545,-408,2664,113595,13581,1156
2026-05-21,1903000,158000,9.05,9773725,-146921,-744572,846951,746328,-9143,54771,1370,-3368,-23061,80054,31492,13050
2026-05-20,1786000,41000,2.35,9147938,536828,-770015,196453,179587,569,4028,-701,-585,-8670,22225,35026,1708
2026-05-19,1719000,121000,-6.58,7805248,1426142,-1333477,-127852,-45818,-4620,-55684,-1104,-280,-31389,11043,31015,4172
2026-05-18,1840000,21000,1.15,10771377,318379,-614950,306085,406042,-2720,-80978,-3212,-1056,-12469,478,-11268,1754
2026-05-15,1848000,122000,-6.19,13151904,2097563,-1530687,-626501,-500716,-8267,-109932,870,-1246,-26254,19044,50292,9333
2026-05-14,1964000,12000,-0.61,9925086,1522061,-1126909,-456416,-165830,-23847,-132595,-675,-1201,-21156,-111112,53128,8136
2026-05-13,1992000,157000,8.56,12803574,638440,-1066925,436365,566323,-19476,-63368,708,-622,-45300,-1900,-8440,560
2026-05-12,1813000,67000,-3.56,15122207,2580131,-2009381,-600073,-143545,-28755,-296065,-803,-966,-14672,-115267,17842,11481
2026-05-11,1908000,222000,13.17,12911808,624334,-663340,32111,380649,-83142,-167313,-528,-1045,-96137,-373,1029,5866
2026-05-08,1681000,27000,1.63,7331920,949852,-1127327,140522,192792,-21252,3115,1817,-471,-8043,-27436,34811,2142
2026-05-07,1646000,45000,2.81,9908765,1594534,-1755148,156844,412458,-19937,-99665,-1994,-1001,4684,-137701,-297,4067
2026-05-06,1650000,203000,14.03,11099704,56598,83231,-43948,315437,-66428,-142950,-1620,-1011,-59049,-88327,-96361,480
2026-05-04,1438000,152000,11.82,10120675,-2389705,1515227,936726,852620,-16447,-41066,-2759,144,18016,126218,-48109,-14139
2026-04-30,1294000,1000,0.08,5358544,-242289,248433,-4241,118798,-3580,-19668,-409,-379,-9970,-89033,-2252,349
2026-04-29,1300000,,0,5168665,541341,-476713,-88243,-125246,-7618,3945,-170,-473,-1277,42596,20134,3481
2026-04-28,1288000,4000,-0.31,6021369,522370,-432182,-90523,29396,-18640,-40145,-912,-2533,-11342,-46347,-3764,4099
2026-04-27,1301000,79000,6.46,8461155,-1399852,837532,525683,551852,-15870,-21328,2580,-408,11,8846,41405,-4768
2026-04-24,1227000,2000,0.16,5388797,656933,-752375,54587,107626,-4005,7225,-985,899,-2185,-53988,41158,-303
2026-04-23,1219000,4000,-0.33,9854593,324976,-226626,-110665,-73980,-15682,-32082,3554,-2610,-2606,12741,6051,6264
2026-04-22,1220000,4000,-0.33,6004723,565709,-322763,-257077,-202723,-6016,2355,2673,-504,-3063,-49799,8367,5764
2026-04-21,1247000,81000,6.95,6684824,-260490,132303,134416,284460,-24481,-26429,-10023,-138,-13766,-75207,-4693,-1536
2026-04-20,1170000,42000,3.72,6256274,-744768,617106,139662,250809,-12801,-40889,-68,53,-18664,-38778,-9514,-2486
2026-04-17,1144000,11000,-0.95,5607937,966026,-598767,-410168,-251232,-10968,-26719,-79,-73,-43301,-77796,37361,5548
2026-04-16,1148000,12000,1.06,5211225,366682,-438191,70713,130817,-8491,-8552,1463,-851,-13647,-30026,-2836,3632
2026-04-15,1138000,35000,3.17,7524143,635601,-345566,-296767,-120374,-32188,-83,2495,746,-18943,-128420,2640,4092
2026-04-14,1117000,77000,7.4,8897661,-1144103,793524,388071,365340,-17045,-32679,-1415,-1461,-601,75932,-27988,-9504
2026-04-13,1032000,5000,0.49,5242855,-512195,524278,-23127,-93913,-7787,78780,11025,-156,20758,-31834,11441,-397
2026-04-10,1026000,28000,2.81,5369802,-574363,837520,-258990,176526,-1988,-358066,-3546,-1947,34684,-104653,-2166,-2001
2026-04-09,995000,38000,-3.68,7998663,329550,-911979,498455,581051,6319,-36747,-943,-736,8217,-58706,20276,63698
2026-04-08,1043000,127000,13.86,11906741,-2289984,1329740,1080386,878798,-14519,31920,1389,-68,-30537,213403,-90317,-29825
2026-04-07,895000,9000,1.02,6396306,-473587,599590,-103040,-163807,4902,54034,-34,9,-8737,10593,-21236,-1727
2026-04-06,900000,24000,2.74,6090287,-130939,-53234,139861,274768,1854,-2940,-1468,-124,7376,-139605,32545,11767
2026-04-03,875000,45000,5.42,4904437,-575305,472798,109871,14245,-734,68404,335,-1128,-35335,64084,-3554,-3810
2026-04-02,823000,70000,-7.84,9501556,745807,-204487,-585227,-538060,5321,-49899,-63,2025,-32706,28155,34622,9285
2026-04-01,890000,83000,10.29,9709306,-595112,-546207,1132732,818691,11717,117474,1296,-714,11070,173198,11619,-3032
2026-03-31,806000,67000,-7.67,11832260,1201021,-1390189,156212,164411,9769,26116,2359,-1833,-22393,-22217,32556,400
2026-03-30,877000,45000,-4.88,7526085,1387694,-1475535,19676,46801,10267,-1592,851,374,-37732,707,57129,11036
2026-03-27,906000,27000,-2.89,7669917,1175058,-1336696,141266,129838,4024,27686,590,631,4388,-25891,12623,7749
2026-03-26,935000,60000,-6.03,8093472,1575366,-1066233,-518790,-210548,-2469,-104257,-4040,-1845,-66615,-129016,-1787,11444
2026-03-25,1004000,18000,1.83,7425847,-445778,-375419,846742,905548,-5789,-15023,-585,-810,-16109,-20490,-25314,-231
2026-03-24,987000,54000,5.79,7418975,-418860,-207539,648654,612080,-6490,-904,-946,353,-3620,48181,-15815,-6440
