일자,종가,전일대비,등락률,거래량,개인,외국인,기관계,기관,,,,,,,기타법인,기타외국인
,,,,,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,,
2026-04-29,1300000,,0,5168665,541341,-476713,-88243,-125246,-7618,3945,-170,-473,-1277,42596,20134,3481
2026-04-28,1288000,4000,-0.31,6021369,522370,-432182,-90523,29396,-18640,-40145,-912,-2533,-11342,-46347,-3764,4099
2026-04-27,1301000,79000,6.46,8461155,-1399852,837532,525683,551852,-15870,-21328,2580,-408,11,8846,41405,-4768
2026-04-24,1227000,2000,0.16,5388797,656933,-752375,54587,107626,-4005,7225,-985,899,-2185,-53988,41158,-303
2026-04-23,1219000,4000,-0.33,9854593,324976,-226626,-110665,-73980,-15682,-32082,3554,-2610,-2606,12741,6051,6264
2026-04-22,1220000,4000,-0.33,6004723,565709,-322763,-257077,-202723,-6016,2355,2673,-504,-3063,-49799,8367,5764
2026-04-21,1247000,81000,6.95,6684824,-260490,132303,134416,284460,-24481,-26429,-10023,-138,-13766,-75207,-4693,-1536
2026-04-20,1170000,42000,3.72,6256274,-744768,617106,139662,250809,-12801,-40889,-68,53,-18664,-38778,-9514,-2486
2026-04-17,1144000,11000,-0.95,5607937,966026,-598767,-410168,-251232,-10968,-26719,-79,-73,-43301,-77796,37361,5548
2026-04-16,1148000,12000,1.06,5211225,366682,-438191,70713,130817,-8491,-8552,1463,-851,-13647,-30026,-2836,3632
2026-04-15,1138000,35000,3.17,7524143,635601,-345566,-296767,-120374,-32188,-83,2495,746,-18943,-128420,2640,4092
2026-04-14,1117000,77000,7.4,8897661,-1144103,793524,388071,365340,-17045,-32679,-1415,-1461,-601,75932,-27988,-9504
2026-04-13,1032000,5000,0.49,5242855,-512195,524278,-23127,-93913,-7787,78780,11025,-156,20758,-31834,11441,-397
2026-04-10,1026000,28000,2.81,5369802,-574363,837520,-258990,176526,-1988,-358066,-3546,-1947,34684,-104653,-2166,-2001
2026-04-09,995000,38000,-3.68,7998663,329550,-911979,498455,581051,6319,-36747,-943,-736,8217,-58706,20276,63698
2026-04-08,1043000,127000,13.86,11906741,-2289984,1329740,1080386,878798,-14519,31920,1389,-68,-30537,213403,-90317,-29825
2026-04-07,895000,9000,1.02,6396306,-473587,599590,-103040,-163807,4902,54034,-34,9,-8737,10593,-21236,-1727
2026-04-06,900000,24000,2.74,6090287,-130939,-53234,139861,274768,1854,-2940,-1468,-124,7376,-139605,32545,11767
2026-04-03,875000,45000,5.42,4904437,-575305,472798,109871,14245,-734,68404,335,-1128,-35335,64084,-3554,-3810
2026-04-02,823000,70000,-7.84,9501556,745807,-204487,-585227,-538060,5321,-49899,-63,2025,-32706,28155,34622,9285
2026-04-01,890000,83000,10.29,9709306,-595112,-546207,1132732,818691,11717,117474,1296,-714,11070,173198,11619,-3032
