일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,기타법인
2026-03-05,20786,-4817,-18009,-16215,-486,11,-11,131,-959,-481,1749
2026-03-04,955,-6254,812,102,475,-1366,-247,23,259,1563,4441
2026-03-03,61715,-54414,-10019,-9111,489,-139,-302,-277,380,-1058,2532
2026-02-27,72327,-74862,-312,5785,-713,-2900,11,130,-2333,-292,2592
2026-02-26,11342,-22619,8920,12803,-1920,561,-93,131,-1090,-1472,2313
2026-02-25,3574,-12910,12829,17128,-1184,-2450,-23,38,500,-1180,-3534
2026-02-24,-20295,-3639,23185,26177,-466,-1227,-3,-84,-1031,-183,880
2026-02-23,15700,-13483,-4000,2239,-1532,-1657,-24,-14,-2609,-403,1715
2026-02-20,-9672,-8079,16488,19716,-670,-629,10,-16,-1708,-214,1252
2026-02-19,-2928,-12462,14882,14848,-1224,620,-27,118,-152,699,489
2026-02-13,10680,-12130,-34,1169,-758,-921,-23,107,62,330,1395
2026-02-12,-44653,29073,15137,12828,-781,1097,162,183,-27,1676,573
2026-02-11,-15788,8684,5251,4047,-223,585,38,158,-657,1302,1985
2026-02-10,-6482,-215,4856,7696,-430,-646,24,138,-1736,-191,1816
2026-02-09,-37637,3417,32367,29615,-427,1639,22,28,-1277,2770,1916
2026-02-06,23097,-34207,9214,6883,198,1035,178,-20,921,19,1781
2026-02-05,79511,-56300,-26392,-22759,183,-799,172,4,-1544,-1649,2908
2026-02-04,-3459,-14052,15639,14259,-259,386,173,116,13,952,1894
2026-02-03,-26497,3287,22381,15585,-121,3073,19,470,1067,2286,939
2026-02-02,52721,-30927,-23484,-23465,455,160,-3,234,-316,-548,1483
2026-01-30,28652,-22347,-6923,-2417,-1310,-1485,142,-144,-790,-919,563
2026-01-29,23262,-19621,-4030,38,-615,-1433,17,-4,-1179,-854,319
2026-01-28,18802,-2676,-14488,-6584,-1327,-1455,91,-2256,-668,-2292,-1732
2026-01-27,-13364,9950,4351,6677,-639,-1509,88,9,-12,-262,-827
2026-01-26,20827,-4583,-16341,-11393,-260,-1757,-62,-147,-1134,-1586,-33
2026-01-23,-3344,-2051,4458,8369,-236,-531,-60,-44,-2658,-383,917
